Store ID,Store Name,Address,Service Area,State,Zip,Lat,Lon
31073,CANNABIS CONCIERGE,,beach-cities,CA,,33.872711,-118.381625
30830,CHARITY COLLECTIVE,,santa-monica,CA,,34.019454,-118.491191
30576,COASTAL WELLNESS,,north-san-diego,CA,,32.715738,-117.161084
31372,COLLECTIVE MINDS DELIVERY,,stockton,CA,,37.957702,-121.29078
31275,COMPASSION 420 CLUB,,north-county,CA,,33.17205,-117.111602
31645,COPE RN 420,,palm-springs,CA,,33.830296,-116.545292
30071,CURATIVE CONCENTRATED CANNABIS EXTRACT,,south-oc,CA,,33.644752,-117.684551
30903,D.V.C,,high-desert,CA,,34.507651,-117.322631
30100,DAB DUDES,,santa-barbara,CA,,34.420831,-119.69819
30621,DABS-ON-WHEELS,,pasadena,CA,,34.147785,-118.144516
30475,DADS,,sacramento,CA,,38.581572,-121.4944
29796,DANKS 2 U,,city-of-industry,CA,,34.019734,-117.958675
29989,DANKS 2 U (GLENDORA),,city-of-industry,CA,,34.019734,-117.958675
31534,DCC DELIVERY,,yucca-valley,CA,,34.114174,-116.432235
30032,DELTA 9 CONCEPTS,,victorvillehigh-desert,CA,,34.586961,-117.126475
30583,DHS.D,,palm-springs,CA,,33.830296,-116.545292
31503,DISCOUNT GREENS DELIVERY,,north-hollywood,CA,,34.187044,-118.381256
31060,DISCREET HEALING CLUB,,bloomington-rialto-colton,CA,,34.084512,-117.360077
29887,DOOBIE DELIVERY,,san-luis-obispo,CA,,35.282752,-120.659616
29727,DOPEGIRLSLA ;),,hollywood,CA,,34.092809,-118.328661
30814,DOUBLE UP DELIVERY,,san-luis-obispo,CA,,35.282752,-120.659616
30184,DRAGON HERBS COLLECTIVE,,santa-fe-springs,CA,,33.947236,-118.085345
31202,DREAM RIGHT SOLUTIONS,,east-bay,CA,,37.772796,-122.216281
30193,EARTH'S CHOICE ALTERNATIVE,,chico,CA,,39.728494,-121.837478
31454,EDENS GARDEN,,perris-hemet,CA,,33.74752,-116.971968
29900,ELEVATED ALTERNATIVES,,san-luis-obispo,CA,,35.282752,-120.659616
31610,ELEVATED EXPRESS,,beach-cities,CA,,33.872711,-118.381625
31328,ELITE CONNECT,,hollywood,CA,,34.092809,-118.328661
31205,EMERALD AVENUE,,ventura,CA,,34.274646,-119.229032
30922,EMERALD TRIANGLE DISPENSARIES,,sacramento,CA,,38.581572,-121.4944
29735,EXCLUSIVE ORGANICS,,north-inland,CA,,33.594066,-117.23681
30767,FARENHEIT420,,yucca-valley,CA,,34.114174,-116.432235
30761,FARMERS GARDEN ORGANICS,,san-luis-obispo,CA,,35.282752,-120.659616
31513,FIELD OF DREAMS,,downtown-la,CA,,34.052234,-118.243685
30509,FIRST CHOICE WELLNESS,,south-bay,CA,,33.879839,-118.381256
31451,FLOWER POWER DELIVERS.COM,,pacific-beach,CA,,32.802458,-117.235585
29982,FLY DELIVERY,,pasadena,CA,,34.147785,-118.144516
30025,FLYING HEART COLLECTIVE,,west-hollywood,CA,,34.090009,-118.361744
30270,FROM THE HEART,,san-bernardino,CA,,34.108345,-117.289765
29665,GAIA'S GARDEN COLLECTIVE,,barstowneedles,CA,,34.895796,-117.017283
30473,GARDEN GREEN MEDICINAL COLLECTIVE,,hollywood,CA,,34.092809,-118.328661
30470,GARDEN GROVE COLLECTIVE,,garden-grove,CA,,33.773905,-117.941448
30517,GAS STATION,,bloomington-rialto-colton,CA,,34.084512,-117.360077
29626,GLO,,fresno,CA,,36.746842,-119.772587
30441,GOLDEN STATE WELLNESS,,high-desert,CA,,34.507651,-117.322631
31082,GOOD EARTH COLLECTIVE,,aliso-viejolaguna-beach,CA,,33.575,-117.725556
30445,GOOD TIMES OG DELIVERY,,huntington-beach,CA,,33.660297,-117.999227
30313,GRAND ORGANICS,,central-san-diego-clubs,CA,,32.747809,-117.108178
29862,GREEN CLOCK HOLISTICS,,north-long-beach,CA,,33.77005,-118.193739
29827,GREEN CROSS,,high-desert,CA,,34.507651,-117.322631
29991,GREEN CROSS DELIVERY,,ventura,CA,,34.274646,-119.229032
31262,GREEN DIAMOND COLLECTIVE,,temecula-a-murrieta,CA,,33.527338,-117.11471
31208,GREEN DIEGO COLLECTIVE,,el-cajon,CA,,32.794773,-116.962527
29979,GREEN DIVA'S GOT FIRE,,lax,CA,,33.941589,-118.40853
30617,GREEN DREAM WELLNESS DELIVERY,,oceansidecarlsbad,CA,,33.158093,-117.350594
31144,GREEN EARTH MEDICAL COLLECTIVE,,berkeley,CA,,37.871593,-122.272747
31271,GREEN FIELDS MEDS,,south-bay,CA,,33.879839,-118.381256
30261,GREEN KING GENETICS,,high-desert,CA,,34.507651,-117.322631
